0,1,2,3,4,5,6,7,8,9,10,11,12,label
-635.1208,111.90905,-31.07238,9.546835,36.988544,-17.224314,3.5831835,-8.761657,10.942859,-8.8173685,-7.4363356,2.0349424,0.711425,0
-494.04135,148.15497,-48.22027,17.218569,39.093277,-18.475883,-16.511408,3.6913803,6.323999,-9.671942,-16.791252,4.1665206,1.9823472,1
-536.9195,130.34717,-45.394356,6.7390757,36.52878,-4.6879215,-14.62353,0.9920363,10.151683,-8.2774105,-21.001493,1.4731956,1.8014838,1
-491.13962,155.11513,-43.187572,-3.2975206,34.882515,-0.09074118,-14.406838,-1.8896728,9.326699,-7.309752,-20.659594,0.60494214,2.5716057,1
-526.00916,137.4091,-43.039883,-5.8743443,41.91769,5.507359,-16.131062,-2.807149,5.151296,-8.107967,-15.469026,2.753042,0.4938706,1
-565.92255,127.42393,-55.800404,1.6061065,38.09968,-4.889847,-12.727392,2.490299,6.1316757,-9.154521,-16.258018,4.157136,2.3851857,1
-579.8803,144.94832,-61.758446,20.016682,34.66199,-8.831359,-5.7418127,-0.5002888,4.8361287,-6.17787,-21.569817,3.3853912,1.1048574,1
-555.9369,142.19759,-44.178246,7.723541,37.138126,-1.3336957,-8.178211,-1.1953838,5.3346796,-3.8663538,-18.03783,0.6745636,3.7472026,1
-574.4576,131.52846,-40.554745,10.03484,32.41927,1.4337907,-3.0398214,-2.7087276,5.748823,-3.0541162,-16.86989,2.0055342,3.517803,1
-540.8477,150.372,-39.398224,-14.885183,34.41729,8.856063,-13.307523,-6.2752314,6.0790005,-2.2376528,-16.686575,-0.9892957,2.8309286,1
-528.6978,140.1396,-40.54213,7.832652,35.064854,-7.9974794,-14.266835,2.5425398,11.192325,-7.1036367,-17.503841,2.2083876,1.9033386,1
-558.7461,130.93948,-64.03581,-1.5111605,45.944153,0.60877454,-15.387821,-1.9534037,1.8409002,-9.155367,-21.330074,2.7057657,2.3140264,1
-570.0309,117.41014,-36.463284,-0.2562599,39.118576,3.852474,-14.66123,-0.0018874933,6.497876,-9.448858,-16.857859,3.1706471,3.3758411,1
-484.05612,140.09485,-38.670246,13.613577,48.302628,-6.608378,-23.66182,1.9537942,11.036877,-10.254885,-19.098497,4.053532,-1.3005383,1
-607.9028,126.89561,-45.543797,22.460213,42.4891,-1.4859256,-3.3088295,0.14814995,5.0625167,-3.2573478,-17.172173,-0.39613473,1.4028783,1
-542.441,135.65361,-51.19995,0.4629047,38.14426,1.6262385,-10.899007,-3.4185443,3.9183002,-5.4475493,-15.355836,1.8131657,3.7239013,1
-561.834,120.62193,-60.365177,10.030419,44.318535,0.50813895,-6.7453084,-2.2870476,2.2593184,-5.7113028,-17.878967,3.7532864,3.7949262,1
-441.40906,146.17294,-43.91915,-2.047502,43.323837,15.384732,-6.0247135,-8.064153,0.72152513,-5.1359873,-16.359552,0.39622447,0.021210475,1
-541.65137,129.89012,-70.25029,22.319683,47.81667,-8.344944,-4.197114,5.2808366,0.25737083,-14.004047,-15.408215,7.646506,0.065196544,1
-543.7359,148.24445,-51.719387,6.142898,38.892868,-2.9199896,-14.527706,-3.660805,8.9529295,-4.0318875,-17.875496,2.1631062,1.587339,1
-472.30362,140.24692,-45.40883,-9.279064,37.450584,9.285991,-10.019853,-8.741619,-0.6177139,-8.30494,-17.88849,-0.89678484,3.1814177,1
